#{"t_start": 1747249147.8275397, "env_id": "None"}
r,l,t
25.0,25,0.055954
18.0,18,0.09517
9.0,9,0.114995
18.0,18,0.149657
39.0,39,0.233254
24.0,24,0.286622
19.0,19,0.328273
16.0,16,0.361051
16.0,16,0.393948
42.0,42,0.484214
22.0,22,0.527488
24.0,24,0.578141
27.0,27,0.632039
30.0,30,0.69452
48.0,48,0.797919
36.0,36,0.87241
16.0,16,0.903747
71.0,71,1.054366
27.0,27,1.114693
24.0,24,1.165309
12.0,12,1.187568
25.0,25,1.237961
12.0,12,1.260565
13.0,13,1.289987
17.0,17,1.322689
11.0,11,1.350198
18.0,18,1.383733
12.0,12,1.411774
11.0,11,1.43329
11.0,11,1.455132
12.0,12,1.478121
15.0,15,1.510277
12.0,12,1.539079
29.0,29,1.601866
12.0,12,1.625189
19.0,19,1.667738
25.0,25,1.719784
22.0,22,1.765213
52.0,52,1.876882
34.0,34,1.942566
46.0,46,2.043104
14.0,14,2.068411
22.0,22,2.117712
13.0,13,2.141052
22.0,22,2.189156
18.0,18,2.223601
35.0,35,2.295816
16.0,16,2.333442
16.0,16,2.365352
16.0,16,2.398413
119.0,119,2.651203
22.0,22,2.695485
54.0,54,2.809547
26.0,26,2.86379
31.0,31,2.926871
31.0,31,2.997565
36.0,36,3.070905
24.0,24,3.12152
24.0,24,3.167531
13.0,13,3.196413
22.0,22,3.23993
43.0,43,3.330019
41.0,41,3.414704
79.0,79,3.579069
34.0,34,3.649433
28.0,28,3.704256
26.0,26,3.762521
38.0,38,3.838441
23.0,23,3.888002
22.0,22,3.931816
27.0,27,3.992175
19.0,19,4.027577
19.0,19,4.069037
12.0,12,4.097088
22.0,22,4.140107
26.0,26,4.192648
30.0,30,4.256207
12.0,12,4.285998
26.0,26,4.339555
42.0,42,4.424464
38.0,38,4.50634
19.0,19,4.546638
27.0,27,4.60178
20.0,20,4.643156
50.0,50,4.748087
24.0,24,4.798441
28.0,28,4.853239
28.0,28,4.913768
30.0,30,4.976278
45.0,45,5.06806
18.0,18,5.10724
27.0,27,5.162054
14.0,14,5.192936
48.0,48,5.288939
32.0,32,5.35893
22.0,22,5.401951
23.0,23,5.454645
54.0,54,5.567354
27.0,27,5.622448
26.0,26,5.674886
