The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) blis/0.9.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
method  A2C 

Episode 1 return: -296.32
Episode 2 return: -588.48
Episode 3 return: -786.01
Episode 4 return: -521.36
Episode 5 return: -491.56
Episode 6 return: -569.26
Episode 7 return: -547.54
Episode 8 return: -540.89
Episode 9 return: -548.04
Episode 10 return: -1056.92
Episode 11 return: -426.93
Episode 12 return: -691.46
Episode 13 return: -521.87
Episode 14 return: -402.25
Episode 15 return: -592.52
Episode 16 return: -648.20
Episode 17 return: -518.68
Episode 18 return: -539.47
Episode 19 return: -540.37
Episode 20 return: -458.23
Episode 21 return: -689.38
Episode 22 return: -461.18
Episode 23 return: -464.33
Episode 24 return: -497.48
Episode 25 return: -405.46
Episode 26 return: -397.80
Episode 27 return: -845.43
Episode 28 return: -508.81
Episode 29 return: -542.42
Episode 30 return: -347.74
Episode 31 return: -727.55
Episode 32 return: -679.61
Episode 33 return: -507.93
Episode 34 return: -650.86
Episode 35 return: -420.48
Episode 36 return: -344.88
Episode 37 return: -257.53
Episode 38 return: -473.91
Episode 39 return: -237.07
Episode 40 return: -254.11
Episode 41 return: -244.32
Episode 42 return: -431.57
Episode 43 return: -185.81
Episode 44 return: -533.16
Episode 45 return: -185.51
Episode 46 return: -451.81
Episode 47 return: -310.57
Episode 48 return: -441.86
Episode 49 return: -249.11
Episode 50 return: -475.77
Episode 51 return: -476.65
Episode 52 return: -394.49
Episode 53 return: -522.53
Episode 54 return: -348.69
Episode 55 return: -589.21
Episode 56 return: -335.75
Episode 57 return: -764.64
Episode 58 return: -369.55
Episode 59 return: -657.97
Episode 60 return: -460.99
Episode 61 return: -678.51
Episode 62 return: -520.17
Episode 63 return: -496.04
Episode 64 return: -919.10
Episode 65 return: -433.99
Episode 66 return: -428.66
Episode 67 return: -492.05
Episode 68 return: -468.48
Episode 69 return: -486.07
Episode 70 return: -778.02
Episode 71 return: -754.44
Episode 72 return: -643.40
Episode 73 return: -914.37
Episode 74 return: -472.77
Episode 75 return: -303.50
Episode 76 return: -599.58
Episode 77 return: -818.84
Episode 78 return: -688.71
Episode 79 return: -778.54
Episode 80 return: -538.51
Episode 81 return: -778.13
Episode 82 return: -424.82
Episode 83 return: -470.68
Episode 84 return: -609.89
Episode 85 return: -507.54
Episode 86 return: -409.66
Episode 87 return: -935.18
Episode 88 return: -803.07
Episode 89 return: -715.52
Episode 90 return: -401.14
Episode 91 return: -540.58
Episode 92 return: -739.09
Episode 93 return: -492.53
Episode 94 return: -724.30
Episode 95 return: -412.33
Episode 96 return: -416.27
Episode 97 return: -369.78
Episode 98 return: -763.29
Episode 99 return: -462.00
Episode 100 return: -548.19
Episode 101 return: -419.84
Episode 102 return: -471.77
Episode 103 return: -956.45
Episode 104 return: -400.65
Episode 105 return: -466.06
Episode 106 return: -450.92
Episode 107 return: -376.99
Episode 108 return: -816.09
Episode 109 return: -529.03
Episode 110 return: -495.92
Episode 111 return: -757.09
Episode 112 return: -334.94
Episode 113 return: -602.18
Episode 114 return: -397.65
Episode 115 return: -449.39
Episode 116 return: -531.96
Episode 117 return: -596.49
Episode 118 return: -530.08
Episode 119 return: -476.13
Episode 120 return: -570.00
Episode 121 return: -140.68
Episode 122 return: -195.27
Episode 123 return: -491.15
Episode 124 return: -386.97
Episode 125 return: -542.23
Episode 126 return: -187.40
Episode 127 return: -471.23
Episode 128 return: -378.96
Episode 129 return: -714.30
Episode 130 return: -421.26
Episode 131 return: -728.95
Episode 132 return: -269.41
Episode 133 return: -726.51
Episode 134 return: -339.33
Episode 135 return: -323.42
Episode 136 return: -403.09
Episode 137 return: -556.82
Episode 138 return: -444.66
Episode 139 return: -558.96
Episode 140 return: -320.14
Episode 141 return: -328.64
Episode 142 return: -740.26
Episode 143 return: -485.86
Episode 144 return: -471.64
Episode 145 return: -461.82
Episode 146 return: -442.71
Episode 147 return: -360.92
Episode 148 return: -350.39
Episode 149 return: -339.82
Episode 150 return: -354.72
Episode 151 return: -320.10
Episode 152 return: -405.72
Episode 153 return: -307.03
Episode 154 return: -493.86
Episode 155 return: -411.82
Episode 156 return: -516.06
Episode 157 return: -458.05
Episode 158 return: -402.31
Episode 159 return: -354.01
Episode 160 return: -508.13
Episode 161 return: -344.08
Episode 162 return: -365.84
Episode 163 return: -256.38
Episode 164 return: -405.40
Episode 165 return: -894.20
Episode 166 return: -657.37
Episode 167 return: -365.02
Episode 168 return: -364.59
Episode 169 return: -544.94
Episode 170 return: -447.32
Episode 171 return: -497.90
Episode 172 return: -507.40
Episode 173 return: -392.20
Episode 174 return: -329.36
Episode 175 return: -360.27
Episode 176 return: -351.78
Episode 177 return: -361.28
Episode 178 return: -371.80
Episode 179 return: -465.13
Episode 180 return: -392.03
Episode 181 return: -296.06
Episode 182 return: -229.97
Episode 183 return: -341.07
Episode 184 return: -354.71
Episode 185 return: -303.31
Episode 186 return: -212.61
Episode 187 return: -301.69
Episode 188 return: -378.17
Episode 189 return: -545.34
Episode 190 return: -412.44
Episode 191 return: 40.71
Episode 192 return: -415.49
Episode 193 return: -321.78
Episode 194 return: -323.74
Episode 195 return: -446.25
Episode 196 return: -605.29
Episode 197 return: -64.30
Episode 198 return: -93.02
Episode 199 return: -104.40
Episode 200 return: -315.11
Episode 201 return: -391.08
Episode 202 return: -348.14
Episode 203 return: -28.87
Episode 204 return: -265.84
Episode 205 return: -289.10
Episode 206 return: -398.72
Episode 207 return: -390.04
Episode 208 return: -159.06
Episode 209 return: -91.72
Episode 210 return: -97.78
Episode 211 return: -184.65
Episode 212 return: -236.73
Episode 213 return: -304.94
Episode 214 return: -272.88
Episode 215 return: -23.79
Episode 216 return: -602.53
Episode 217 return: -351.42
Episode 218 return: -495.25
Episode 219 return: -361.98
Episode 220 return: -248.64
Episode 221 return: -124.96
Episode 222 return: -238.80
Episode 223 return: -292.33
Episode 224 return: -162.23
Episode 225 return: -313.00
Episode 226 return: -85.68
Episode 227 return: -147.13
Episode 228 return: -357.27
Episode 229 return: -226.10
Episode 230 return: -519.88
Episode 231 return: -55.36
Episode 232 return: -70.12
Episode 233 return: -170.53
Episode 234 return: -113.55
Episode 235 return: -53.36
Episode 236 return: -5.04
Episode 237 return: -69.96
Episode 238 return: 168.41
Episode 239 return: -26.97
Episode 240 return: -261.94
Episode 241 return: -164.33
Episode 242 return: -21.09
Episode 243 return: -12.23
Episode 244 return: -201.77
Episode 245 return: -235.74
Episode 246 return: -198.81
Episode 247 return: -36.45
Episode 248 return: -40.57
Episode 249 return: -41.52
Episode 250 return: -92.97
Episode 251 return: -58.66
Episode 252 return: -48.81
Episode 253 return: -133.61
Episode 254 return: -76.98
Episode 255 return: -18.71
Episode 256 return: -95.89
Episode 257 return: -115.87
Episode 258 return: -138.73
Episode 259 return: -176.41
Episode 260 return: -269.62
Episode 261 return: -186.44
Episode 262 return: -217.80
Episode 263 return: -249.25
Episode 264 return: -145.07
Episode 265 return: -156.79
Episode 266 return: -121.80
Episode 267 return: -94.66
Episode 268 return: -103.70
Episode 269 return: -408.02
Episode 270 return: -386.53
Episode 271 return: -191.55
Episode 272 return: -92.66
Episode 273 return: -151.72
Episode 274 return: -119.59
Episode 275 return: -133.75
Episode 276 return: -166.87
Episode 277 return: -209.00
Episode 278 return: -156.06
Episode 279 return: -177.66
Episode 280 return: -176.75
Episode 281 return: -104.47
Episode 282 return: -138.62
Episode 283 return: -135.23
Episode 284 return: -27.48
Episode 285 return: -182.68
Episode 286 return: -171.80
Episode 287 return: -168.95
Episode 288 return: -156.87
Episode 289 return: -192.84
Episode 290 return: -130.50
Episode 291 return: -138.41
Episode 292 return: -140.54
Episode 293 return: -143.45
Episode 294 return: -113.40
Episode 295 return: -179.12
Episode 296 return: -149.00
Episode 297 return: -96.71
Episode 298 return: -125.68
Episode 299 return: -92.60
Episode 300 return: -103.62

Finished training after 300 episodes.
len(return_logger.episodic_returns):  300
method  A2C 

Episode 1 return: -177.85
Episode 2 return: -773.80
Episode 3 return: -1230.59
Episode 4 return: -971.18
Episode 5 return: -366.73
Episode 6 return: -813.99
Episode 7 return: -775.88
Episode 8 return: -660.77
Episode 9 return: -467.82
Episode 10 return: -622.30
Episode 11 return: -511.08
Episode 12 return: -971.97
Episode 13 return: -786.19
Episode 14 return: -765.32
Episode 15 return: -709.33
Episode 16 return: -459.49
Episode 17 return: -793.24
Episode 18 return: -682.60
Episode 19 return: -435.65
Episode 20 return: -893.05
Episode 21 return: -845.98
Episode 22 return: -788.43
Episode 23 return: -778.98
Episode 24 return: -815.75
Episode 25 return: -700.26
Episode 26 return: -1191.84
Episode 27 return: -645.97
Episode 28 return: -730.68
Episode 29 return: -1116.13
Episode 30 return: -547.14
Episode 31 return: -1526.75
Episode 32 return: -662.14
Episode 33 return: -769.78
Episode 34 return: -233.45
Episode 35 return: -110.36
Episode 36 return: -251.01
Episode 37 return: -167.53
Episode 38 return: -401.16
Episode 39 return: -579.31
Episode 40 return: -453.79
Episode 41 return: -184.20
Episode 42 return: -182.22
Episode 43 return: -247.69
Episode 44 return: -359.84
Episode 45 return: -165.39
Episode 46 return: -520.52
Episode 47 return: -642.72
Episode 48 return: -663.44
Episode 49 return: -800.85
Episode 50 return: -796.56
Episode 51 return: -226.32
Episode 52 return: -761.04
Episode 53 return: -253.84
Episode 54 return: -254.75
Episode 55 return: -785.76
Episode 56 return: -527.15
Episode 57 return: -559.26
Episode 58 return: -512.02
Episode 59 return: -375.60
Episode 60 return: -261.77
Episode 61 return: -209.49
Episode 62 return: -611.12
Episode 63 return: -331.61
Episode 64 return: -536.79
Episode 65 return: -588.66
Episode 66 return: -259.27
Episode 67 return: -536.63
Episode 68 return: -211.12
Episode 69 return: -341.88
Episode 70 return: -596.68
Episode 71 return: -374.56
Episode 72 return: -328.68
Episode 73 return: -717.19
Episode 74 return: -794.85
Episode 75 return: -778.51
Episode 76 return: -754.77
Episode 77 return: -651.48
Episode 78 return: -569.52
Episode 79 return: -659.22
Episode 80 return: -892.22
Episode 81 return: -324.11
Episode 82 return: -830.86
Episode 83 return: -280.52
Episode 84 return: -317.80
Episode 85 return: -714.46
Episode 86 return: -114.82
Episode 87 return: -740.90
Episode 88 return: -746.53
Episode 89 return: -280.81
Episode 90 return: -614.64
Episode 91 return: -218.74
Episode 92 return: -705.00
Episode 93 return: -465.96
Episode 94 return: -306.96
Episode 95 return: -330.37
Episode 96 return: -421.08
Episode 97 return: -401.17
Episode 98 return: -457.97
Episode 99 return: -353.77
Episode 100 return: -590.54
Episode 101 return: -688.25
Episode 102 return: -502.12
Episode 103 return: -447.11
Episode 104 return: -423.77
Episode 105 return: -411.84
Episode 106 return: -297.21
Episode 107 return: -434.06
Episode 108 return: -319.91
Episode 109 return: -354.98
Episode 110 return: -296.34
Episode 111 return: -606.56
Episode 112 return: -311.16
Episode 113 return: -501.01
Episode 114 return: -485.64
Episode 115 return: -503.61
Episode 116 return: -405.02
Episode 117 return: -284.02
Episode 118 return: -539.94
Episode 119 return: -256.66
Episode 120 return: -680.47
Episode 121 return: -156.88
Episode 122 return: -509.24
Episode 123 return: -522.76
Episode 124 return: -587.42
